145,Rashaad Penny,SEA,RB48,6,24,1 out of 5 stars,-37
146,Sony Michel,NE,RB49,5,25,4 out of 5 stars,55
147,Sammy Watkins,KC,WR65,10,27,2 out of 5 stars,-5
148,A.J. Green,CIN,WR66,9,32,4 out of 5 stars,83
149,Robert Tonyan,GB,TE17,5,26,3 out of 5 stars,-
150,O.J. Howard,TB,TE18,13,26,2 out of 5 stars,-75
151,Anthony Miller,CHI,WR67,11,26,4 out of 5 stars,17
152,Kirk Cousins,MIN,QB18,7,32,4 out of 5 stars,12
153,Gabriel Davis,BUF,WR68,11,21,3 out of 5 stars,-190
154,Daniel Jones,NYG,QB19,11,23,3 out of 5 stars,45
155,Darnell Mooney,CHI,WR69,11,23,4 out of 5 stars,-
156,Cam Newton,NE,QB20,5,31,3 out of 5 stars,11
157,Jerick McKinnon,SF,RB50,11,28,2 out of 5 stars,-136
158,Devin Duvernay,BAL,WR70,7,23,5 out of 5 stars,-78
159,Allen Lazard,GB,WR71,5,25,4 out of 5 stars,-32
160,Julian Edelman,NE,WR72,5,34,1 out of 5 stars,85
161,James Washington,PIT,WR73,4,24,3 out of 5 stars,-47
162,Eric Ebron,PIT,TE19,4,27,5 out of 5 stars,-6
163,Drew Lock,DEN,QB21,5,24,3 out of 5 stars,-13
164,Emmanuel Sanders,NO,WR74,6,33,3 out of 5 stars,65
165,Mark Ingram II,BAL,RB51,7,30,3 out of 5 stars,120
166,Latavius Murray,NO,RB52,6,30,2 out of 5 stars,55
167,Jimmy Garoppolo,SF,QB22,11,29,3 out of 5 stars,19
168,Cole Kmet,CHI,TE20,11,21,2 out of 5 stars,-81
169,Golden Tate,NYG,WR75,11,32,3 out of 5 stars,55
170,Cole Beasley,BUF,WR76,11,31,3 out of 5 stars,-76
171,Benny Snell Jr.,PIT,RB53,4,22,3 out of 5 stars,-85
172,Justin Jackson,LAC,RB54,6,24,3 out of 5 stars,0
173,La'Mical Perine,NYJ,RB55,10,22,4 out of 5 stars,-74
174,Duke Johnson Jr.,HOU,RB56,8,27,4 out of 5 stars,41
175,Darrynton Evans,TEN,RB57,4,22,4 out of 5 stars,-65
176,Sam Darnold,NYJ,QB23,10,23,1 out of 5 stars,-9
177,Jamaal Williams,GB,RB58,5,25,3 out of 5 stars,-15
178,Teddy Bridgewater,CAR,QB24,13,28,4 out of 5 stars,-9
179,Tevin Coleman,SF,RB59,11,27,2 out of 5 stars,63
180,Tom Brady,TB,QB25,13,43,1 out of 5 stars,103
181,Gus Edwards,BAL,RB60,7,25,3 out of 5 stars,-71
182,Chris Herndon IV,NYJ,TE21,10,24,2 out of 5 stars,-7
183,Breshad Perriman,NYJ,WR77,10,27,1 out of 5 stars,33
184,Anthony McFarland Jr.,PIT,RB61,4,21,3 out of 5 stars,-57
185,DeeJay Dallas,SEA,RB62,6,22,1 out of 5 stars,-156
186,Jared Cook,NO,TE22,6,33,4 out of 5 stars,104
187,Andy Isabella,ARI,WR78,8,24,3 out of 5 stars,-73
188,Dawson Knox,BUF,TE23,11,24,1 out of 5 stars,-51
189,Gerald Everett,LAR,TE24,9,26,2 out of 5 stars,-91
190,Miles Boykin,BAL,WR79,7,24,5 out of 5 stars,-96
191,Drew Brees,NO,QB26,6,41,3 out of 5 stars,121
192,Malcolm Brown,LAR,RB63,9,27,2 out of 5 stars,-34
193,Logan Thomas,WAS,TE25,8,29,2 out of 5 stars,-86
194,Mike Davis,CAR,RB64,13,27,1 out of 5 stars,-
195,Boston Scott,PHI,RB65,9,25,1 out of 5 stars,41
196,Matt Breida,MIA,RB66,7,25,4 out of 5 stars,89
197,Antonio Brown,TB,WR80,13,32,0 out of 5 stars,-12
198,Ian Thomas,CAR,TE26,13,24,4 out of 5 stars,18
199,Marlon Mack,IND,RB67,7,24,5 out of 5 stars,107
200,Derek Carr,LV,QB27,6,29,3 out of 5 stars,-13
201,Ben Roethlisberger,PIT,QB28,4,38,5 out of 5 stars,83
202,Hunter Renfrow,LV,WR81,6,24,1 out of 5 stars,0
203,Royce Freeman,DEN,RB68,5,24,4 out of 5 stars,-42
204,Marquez Valdes-Scantling,GB,WR82,5,26,4 out of 5 stars,-99
205,Jakobi Meyers,NE,WR83,5,24,1 out of 5 stars,-
206,Adam Trautman,NO,TE27,6,23,4 out of 5 stars,-123
207,David Njoku,CLE,TE28,9,24,4 out of 5 stars,-55
208,Gardner Minshew II,JAC,QB29,8,24,3 out of 5 stars,30
209,Scotty Miller,TB,WR84,13,23,0 out of 5 stars,-124
210,Harrison Bryant,CLE,TE29,9,22,4 out of 5 stars,-
211,Jordan Wilkins,IND,RB69,7,26,5 out of 5 stars,-
212,Dalton Schultz,DAL,TE30,10,24,3 out of 5 stars,-
213,Josh Reynolds,LAR,WR85,9,25,4 out of 5 stars,-46
214,Tim Patrick,DEN,WR86,5,27,3 out of 5 stars,-
215,Russell Gage,ATL,WR87,10,24,2 out of 5 stars,-102
216,Blake Jarwin,DAL,TE31,10,26,3 out of 5 stars,70
217,Jameis Winston,NO,QB30,6,26,3 out of 5 stars,-
218,Will Dissly,SEA,TE32,6,24,3 out of 5 stars,-45
219,Nelson Agholor,LV,WR88,6,27,1 out of 5 stars,-85
220,Jalen Hurts,PHI,QB31,9,22,3 out of 5 stars,-
221,Rob Gronkowski,TB,TE33,13,31,2 out of 5 stars,149
222,Tyler Johnson,TB,WR89,13,22,0 out of 5 stars,-
223,Alshon Jeffery,PHI,WR90,9,30,4 out of 5 stars,67
224,Giovani Bernard,CIN,RB70,9,29,3 out of 5 stars,-33
225,Justice Hill,BAL,RB71,7,23,3 out of 5 stars,-7
226,Jordan Love,GB,QB32,5,22,4 out of 5 stars,-
227,Kenny Stills,FA,WR91,-,28,-,3
228,Dede Westbrook,JAC,WR92,8,27,4 out of 5 stars,23
229,Jace Sternberger,GB,TE34,5,24,3 out of 5 stars,-35
230,Jordan Howard,PHI,RB72,9,26,1 out of 5 stars,144
231,Justin Tucker,BAL,K1,7,31,2 out of 5 stars,105
232,Dwayne Haskins,WAS,QB33,8,23,3 out of 5 stars,-35
